,epoch,batch,acc
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.0
4,0,4,0.0
5,0,5,0.0
6,0,6,0.0
7,0,7,0.0
8,0,8,0.0
9,0,9,0.0
10,0,10,0.0
11,0,11,0.0
12,0,12,0.0
13,0,13,0.0
14,0,14,0.0
15,0,15,0.0
16,0,16,0.0
17,1,0,0.0
18,1,1,0.0
19,1,2,0.0
20,1,3,0.0
21,1,4,0.0
22,1,5,0.0
23,1,6,0.0
24,1,7,0.0
25,1,8,0.0
26,1,9,0.0
27,1,10,0.0
28,1,11,0.0
29,1,12,0.0
30,1,13,0.0
31,1,14,0.0
32,1,15,0.0
33,1,16,0.0
34,2,0,0.0
35,2,1,0.0
36,2,2,0.0
37,2,3,0.0
38,2,4,0.0
39,2,5,0.0
40,2,6,0.0
41,2,7,0.0
42,2,8,0.0
43,2,9,0.0
44,2,10,0.0
45,2,11,0.0
46,2,12,0.0
47,2,13,0.0
48,2,14,0.0
49,2,15,0.0
50,2,16,0.0
51,3,0,0.0
52,3,1,0.0
53,3,2,0.0
54,3,3,0.0
55,3,4,0.0
56,3,5,0.0
57,3,6,0.0
58,3,7,0.0
59,3,8,0.0
60,3,9,0.0
61,3,10,0.0
62,3,11,0.0
63,3,12,0.0
64,3,13,0.0
65,3,14,0.0
66,3,15,0.0
67,3,16,0.0
68,4,0,0.0
69,4,1,0.0
70,4,2,0.0
71,4,3,0.0
72,4,4,0.0
73,4,5,0.0
74,4,6,0.0
75,4,7,0.0
76,4,8,0.0
77,4,9,0.0
78,4,10,0.0
79,4,11,0.0
80,4,12,0.0
81,4,13,0.0
82,4,14,0.0
83,4,15,0.0
84,4,16,0.0
85,5,0,0.0
86,5,1,0.0
87,5,2,0.0
88,5,3,0.0
89,5,4,0.0
90,5,5,0.0
91,5,6,0.0
92,5,7,0.0
93,5,8,0.0
94,5,9,0.0
95,5,10,0.0
96,5,11,0.0
97,5,12,0.0
98,5,13,0.0
99,5,14,0.0
100,5,15,0.0
101,5,16,0.0
102,6,0,0.0
103,6,1,0.0
104,6,2,0.0
105,6,3,0.0
106,6,4,0.0
107,6,5,0.0
108,6,6,0.0
109,6,7,0.0
110,6,8,0.0
